"Index","SYMBOL"
"417","YBX1"
"418","LEPRE1"
"419","C1orf50"
"420","CCDC23"
"421","ERMAP"
"422","RP11-342M1.3"
"423","ZNF691"
"424","SLC2A1"
"425","EBNA1BP2"
"426","RP1-92O14.3"
"427","CDC20"
"428","ELOVL1"
"429","MED8"
"430","SZT2"
"431","HYI"
"432","KDM4A"
"433","KDM4A-AS1"
"434","ST3GAL3"
"435","RP11-7O11.3"
"436","IPO13"
"437","DPH2"
"438","ATP6V0B"
"439","B4GALT2"
"440","CCDC24"
"441","DMAP1"
"442","ERI3"
"443","RNF220"
"444","TMEM53"
"445","C1orf228"
"446","RPS8"
"447","BEST4"
"448","PLK3"
"449","TCTEX1D4"
"450","BTBD19"
"451","EIF2B3"
"452","HECTD3"
"453","UROD"
"454","MUTYH"
"455","TOE1"
"456","TESK2"
"457","CCDC163P"
"458","PRDX1"
"459","AKR1A1"
"460","NASP"
"461","CCDC17"
"462","GPBP1L1"
"463","TMEM69"
"464","IPP"
"465","MAST2"
"466","PIK3R3"
"467","POMGNT1"
"468","LURAP1"
"469","LRRC41"
"470","UQCRH"
"471","NSUN4"
"472","FAAH"
"473","MKNK1"
"474","MOB3C"
"475","ATPAF1"
"476","EFCAB14"
"477","LINC00853"
"478","PDZK1IP1"
"479","TAL1"
"480","CMPK1"
"481","FOXD2-AS1"
"482","SPATA6"
"483","BEND5"
"484","FAF1"
"485","CDKN2C"
"486","RNF11"
"487","TTC39A"
"488","EPS15"
"489","OSBPL9"
"490","NRD1"
"491","TXNDC12"
"492","KTI12"
"493","BTF3L4"
"494","ZFYVE9"
"495","CC2D1B"
"496","ORC1"
"497","PRPF38A"
"498","ZCCHC11"
"499","GPX7"
"500","FAM159A"
"501","COA7"
"502","ZYG11B"
"503","ECHDC2"
"504","SCP2"
"505","CPT2"
"506","C1orf123"
"507","RP5-1024G6.7"
"508","MAGOH"
"509","RP5-1024G6.5"
"510","LRP8"
"511","RP11-117D22.2"
"512","NDC1"
"513","YIPF1"
"514","HSPB11"
"515","LRRC42"
"516","RP4-758J24.5"
"517","TMEM59"
"518","TCEANC2"
"519","CYB5RL"
"520","MRPL37"
"521","SSBP3"
"522","RP5-997D24.3"
"523","TTC4"
"524","PARS2"
"525","TTC22"
"526","USP24"
"527","PPAP2B"
"528","OMA1"
"529","TACSTD2"
"530","MYSM1"
"531","JUN"
"532","FGGY"
"533","HOOK1"
"534","NFIA"
"535","TM2D1"
"536","INADL"
"537","L1TD1"
"538","USP1"
"539","DOCK7"
"540","ATG4C"
"541","ALG6"
"542","ITGB3BP"
"543","EFCAB7"
"544","DLEU2L"
"545","PGM1"
"546","ROR1"
"547","JAK1"
"548","AK4"
"549","DNAJC6"
"550","LEPROT"
"551","PDE4B"
"552","WDR78"
"553","MIER1"
"554","SLC35D1"
"555","IL12RB2"
"556","SERBP1"
"557","GADD45A"
"558","WLS"
"559","LRRC40"
"560","SRSF11"
"561","ANKRD13C"
"562","HHLA3"
"563","CTH"
"564","ZRANB2"
"565","LRRIQ3"
"566","FPGT"
"567","CRYZ"
"568","TYW3"
"569","ACADM"
"570","RABGGTB"
"571","ST6GALNAC3"
"572","PIGK"
"573","AK5"
"574","ZZZ3"
"575","USP33"
"576","FAM73A"
"577","NEXN"
"578","FUBP1"
"579","DNAJB4"
"580","RP11-386I14.4"
"581","IFI44L"
"582","IFI44"
"583","RP5-887A10.1"
"584","RP11-475O6.1"
"585","TTLL7"
"586","RP11-486G15.2"
"587","PRKACB"
"588","RPF1"
"589","GNG5"
"590","CTBS"
"591","SSX2IP"
"592","LPAR3"
"593","MCOLN2"
"594","MCOLN3"
"595","SYDE2"
"596","C1orf52"
"597","BCL10"
"598","RP11-131L23.1"
"599","ZNHIT6"
"600","COL24A1"
"601","ODF2L"
"602","RP4-612B15.3"
"603","SH3GLB1"
"604","SEP15"
"605","HS2ST1"
"606","LMO4"
"607","PKN2"
"608","GTF2B"
"609","CCBL2"
"610","RBMXL1"
"611","GBP3"
"612","GBP1"
"613","GBP2"
"614","GBP7"
"615","GBP4"
"616","GBP5"
"617","LRRC8B"
"618","RP5-1007M22.2"
"619","LRRC8C"
"620","RP5-943J3.2"
"621","LRRC8D"
"622","ZNF326"
"623","ZNF644"
"624","CDC7"
"625","TGFBR3"
"626","BRDT"
"627","EPHX4"
"628","BTBD8"
"629","KIAA1107"
"630","GLMN"
"631","RPAP2"
"632","GFI1"
"633","EVI5"
"634","RPL5"
"635","FAM69A"
"636","MTF2"
"637","TMED5"
"638","CCDC18"
"639","DR1"
"640","FNBP1L"
"641","BCAR3"
"642","RP4-561L24.3"
"643","DNTTIP2"
"644","GCLM"
"645","ABCD3"
"646","F3"
"647","CNN3"
"648","ALG14"
"649","TMEM56"
"650","RWDD3"
"651","PTBP2"
"652","DPYD"
"653","SNX7"
"654","AGL"
"655","SLC35A3"
"656","HIAT1"
"657","SASS6"
"658","TRMT13"
"659","DBT"
"660","RTCA"
"661","CDC14A"
"662","VCAM1"
"663","EXTL2"
"664","RP4-549L20.3"
"665","SLC30A7"
"666","DPH5"
"667","AC093157.1"
"668","RP11-421L21.2"
"669","RP11-421L21.3"
"670","RP4-575N6.4"
"671","S1PR1"
"672","RNPC3"
"673","AMY2B"
"674","PRMT6"
"675","VAV3"
"676","VAV3-AS1"
"677","RP11-356N1.2"
"678","SLC25A24"
"679","RP11-483I13.5"
"680","FAM102B"
"681","HENMT1"
"682","PRPF38B"
"683","STXBP3"
"684","GPSM2"
"685","CLCC1"
"686","WDR47"
"687","TAF13"
"688","RP5-1065J22.8"
"689","TMEM167B"
"690","KIAA1324"
"691","SARS"
"692","PSRC1"
"693","SORT1"
"694","PSMA5"
"695","ATXN7L2"
"696","CYB561D1"
"697","AMIGO1"
"698","GNAI3"
"699","AMPD2"
"700","GSTM4"
"701","GSTM2"
"702","GSTM3"
"703","CSF1"
"704","AHCYL1"
"705","STRIP1"
"706","RBM15"
"707","SLC16A4"
"708","RP5-1074L1.4"
"709","LAMTOR5-AS1"
"710","LAMTOR5"
"711","RP11-284N8.3"
"712","KCNA3"
"713","CD53"
"714","RP11-96K19.2"
"715","LRIF1"
"716","RP11-96K19.5"
"717","DRAM2"
"718","CEPT1"
"719","RP5-1180E21.5"
"720","DENND2D"
"721","CHI3L2"
"722","WDR77"
"723","ATP5F1"
"724","C1orf162"
"725","ADORA3"
"726","RAP1A"
"727","FAM212B"
"728","FAM212B-AS1"
"729","DDX20"
"730","KCND3"
"731","CTTNBP2NL"
"732","WNT2B"
"733","ST7L"
"734","CAPZA1"
"735","MOV10"
"736","RHOC"
"737","SLC16A1"
"738","SLC16A1-AS1"
"739","LRIG2"
"740","MAGI3"
"741","PHTF1"
"742","RSBN1"
"743","PTPN22"
"744","AP4B1-AS1"
"745","BCL2L15"
"746","AP4B1"
"747","DCLRE1B"
"748","RP5-1073O3.7"
"749","HIPK1"
"750","OLFML3"
"751","TRIM33"
"752","BCAS2"
"753","DENND2C"
"754","NRAS"
"755","CSDE1"
"756","SIKE1"
"757","TSPAN2"
"758","VANGL1"
"759","SLC22A15"
"760","ATP1A1"
"761","RP5-1086K13.1"
"762","CD58"
"763","CD2"
"764","PTGFRN"
"765","CD101"
"766","TTF2"
"767","RP11-188D8.1"
"768","MAN1A2"
"769","FAM46C"
"770","GDAP2"
"771","WDR3"
"772","WARS2"
"773","RP11-418J17.1"
"774","ZNF697"
"775","PHGDH"
"776","REG4"
"777","NOTCH2"
"778","FAM72B"
"779","FCGR1B"
"780","RP11-343N15.5"
"781","AL592494.5"
"782","RP11-344P13.6"
"783","RP11-423O2.5"
"784","RP11-782C8.1"
"785","RP6-206I17.2"
"786","FAM72D"
"787","LINC00623"
"788","AL592284.1"
"789","RP11-640M9.1"
"790","NBPF9"
"791","PDE4DIP"
"792","AL590452.1"
"793","RP11-326G21.1"
"794","NOTCH2NL"
"795","NBPF10"
"796","TXNIP"
"797","POLR3GL"
"798","ANKRD34A"
"799","RP11-315I20.1"
"800","LIX1L"
"801","RBM8A"
"802","PEX11B"
"803","ITGA10"
"804","PIAS3"
"805","NUDT17"
"806","POLR3C"
"807","RNF115"
"808","CD160"
"809","GPR89A"
"810","NBPF12"
"811","PRKAB2"
"812","RP11-337C18.8"
"813","FMO5"
"814","RP11-337C18.9"
"815","CHD1L"
"816","BCL9"
"817","ACP6"
"818","NBPF14"
"819","RP11-89F3.2"
"820","NBPF15"
"821","RP11-666A1.5"
"822","RP11-14N7.2"
"823","RP11-403I13.5"
"824","RP11-403I13.4"
"825","LINC00869"
"826","RP11-403I13.8"
"827","RP11-277L2.4"
"828","RP11-277L2.3"
"829","RP11-353N4.4"
"830","FCGR1A"
"831","HIST2H2BF"
"832","RP11-196G18.24"
"833","HIST2H2BE"
"834","HIST2H2AC"
"835","BOLA1"
"836","SV2A"
"837","SF3B4"
"838","MTMR11"
"839","OTUD7B"
"840","VPS45"
"841","PLEKHO1"
"842","ANP32E"
"843","APH1A"
"844","C1orf54"
"845","C1orf51"
"846","MRPS21"
"847","PRPF3"
"848","RPRD2"
"849","TARS2"
"850","ECM1"
"851","ADAMTSL4"
"852","MCL1"
"853","ENSA"
"854","GOLPH3L"
"855","CTSS"
"856","ARNT"
"857","SETDB1"
"858","CERS2"
"859","FAM63A"
"860","PRUNE"
"861","BNIPL"
"862","C1orf56"
"863","CDC42SE1"
"864","MLLT11"
"865","GABPB2"
"866","TNFAIP8L2"
"867","SCNM1"
"868","LYSMD1"
"869","VPS72"
"870","PIP5K1A"
"871","PSMD4"
"872","RP11-126K1.2"
"873","ZNF687"
"874","PI4KB"
"875","RFX5"
"876","RP11-126K1.6"
"877","SELENBP1"
"878","PSMB4"
"879","POGZ"
"880","TUFT1"
"881","SNX27"
"882","MRPL9"
"883","OAZ3"
"884","TDRKH"
"885","RP11-98D18.9"
"886","C2CD4D"
"887","THEM4"
"888","S100A10"
"889","S100A11"
"890","TCHH"
"891","LOR"
"892","S100A9"
"893","S100A12"
"894","S100A8"
"895","S100A6"
"896","S100A5"
"897","S100A4"
"898","S100A2"
"899","S100A13"
"900","RP1-178F15.4"
"901","CHTOP"
"902","SNAPIN"
"903","ILF2"
"904","INTS3"
"905","SLC27A3"
"906","GATAD2B"
"907","DENND4B"
"908","CRTC2"
"909","SLC39A1"
"910","CREB3L4"
"911","JTB"
"912","RP11-422P24.11"
"913","RAB13"
"914","RPS27"
"915","TPM3"
"916","C1orf43"
"917","UBAP2L"
"918","HAX1"
"919","AQP10"
"920","ATP8B2"
"921","RP11-350G8.5"
"922","IL6R"
"923","UBE2Q1"
"924","ADAR"
"925","PMVK"
"926","PBXIP1"
"927","PYGO2"
"928","RP11-307C12.12"
"929","SHC1"
"930","CKS1B"
"931","FLAD1"
"932","ZBTB7B"
"933","ADAM15"
"934","EFNA4"
"935","EFNA3"
"936","EFNA1"
"937","SLC50A1"
"938","DPM3"
"939","KRTCAP2"
"940","TRIM46"
"941","MUC1"
"942","THBS3"
"943","MTX1"
"944","GBA"
"945","FAM189B"
"946","SCAMP3"
"947","CLK2"
"948","FDPS"
"949","RUSC1-AS1"
"950","RUSC1"
"951","ASH1L"
"952","MSTO1"
"953","YY1AP1"
"954","DAP3"
"955","GON4L"
"956","SYT11"
"957","RIT1"
"958","KIAA0907"
"959","ARHGEF2"
"960","RP11-336K24.12"
"961","SSR2"
"962","UBQLN4"
"963","LAMTOR2"
"964","RAB25"
"965","LMNA"
"966","SEMA4A"
"967","SLC25A44"
"968","PMF1"
"969","BGLAP"
"970","PAQR6"
"971","SMG5"
"972","TMEM79"
"973","C1orf85"
"974","CCT3"
"975","C1orf61"
"976","MEF2D"
"977","APOA1BP"
"978","GPATCH4"
"979","ISG20L2"
"980","RRNAD1"
"981","MRPL24"
"982","HDGF"
"983","PRCC"
"984","SH2D2A"
"985","ARHGEF11"
"986","ETV3L"
"987","ETV3"
"988","FCRL5"
"989","FCRL4"
"990","FCRL3"
"991","FCRL2"
"992","FCRL1"
"993","CD1D"
"994","CD1C"
"995","CD1E"
"996","MNDA"
"997","PYHIN1"
"998","IFI16"
"999","AIM2"
"1000","FCER1A"
"1001","DUSP23"
"1002","FCRL6"
"1003","SLAMF8"
"1004","TAGLN2"
"1005","SLAMF9"
"1006","PIGM"
"1007","KCNJ10"
"1008","IGSF8"
"1009","RP11-536C5.7"
"1010","PEA15"
"1011","DCAF8"
"1012","RP11-574F21.2"
"1013","PEX19"
"1014","COPA"
"1015","NCSTN"
"1016","SLAMF6"
"1017","CD84"
"1018","SLAMF1"
"1019","CD48"
"1020","SLAMF7"
"1021","LY9"
"1022","CD244"
"1023","F11R"
"1024","TSTD1"
"1025","USF1"
"1026","ARHGAP30"
"1027","PVRL4"
"1028","KLHDC9"
"1029","PFDN2"
"1030","NIT1"
"1031","DEDD"
"1032","UFC1"
"1033","USP21"
"1034","PPOX"
"1035","B4GALT3"
"1036","NDUFS2"
"1037","FCER1G"
"1038","TOMM40L"
"1039","MPZ"
"1040","SDHC"
"1041","RP11-122G18.5"
"1042","FCGR2A"
"1043","HSPA6"
"1044","FCGR3A"
"1045","FCGR2B"
"1046","FCGR3B"
"1047","FCRLA"
"1048","FCRLB"
"1049","DUSP12"
"1050","ATF6"
"1051","OLFML2B"
"1052","SH2D1B"
"1053","UHMK1"
"1054","UAP1"
"1055","HSD17B7"
"1056","RP11-267N12.3"
"1057","NUF2"
"1058","MGST3"
"1059","ALDH9A1"
"1060","TMCO1"
"1061","UCK2"
"1062","POGK"
"1063","TADA1"
"1064","GPA33"
"1065","POU2F1"
"1066","CD247"
"1067","RP11-104L21.3"
"1068","CREG1"
"1069","RCSD1"
"1070","MPZL1"
"1071","MPC2"
"1072","DCAF6"
"1073","GPR161"
"1074","TIPRL"
"1075","SFT2D2"
"1076","TBX19"
"1077","XCL2"
"1078","XCL1"
"1079","ATP1B1"
"1080","NME7"
"1081","BLZF1"
"1082","SLC19A2"
"1083","F5"
"1084","C1orf112"
"1085","SELL"
"1086","METTL18"
"1087","SCYL3"
"1088","KIFAP3"
"1089","GORAB"
"1090","FMO4"
"1091","PRRC2C"
"1092","VAMP4"
"1093","METTL13"
"1094","DNM3"
"1095","PIGC"
"1096","SUCO"
"1097","FASLG"
"1098","TNFSF4"
"1099","RP11-296O14.3"
"1100","PRDX6"
"1101","KLHL20"
"1102","CENPL"
"1103","DARS2"
"1104","ZBTB37"
"1105","RC3H1"
"1106","RP11-160H22.5"
"1107","RABGAP1L"
"1108","CACYBP"
"1109","MRPS14"
"1110","KIAA0040"
"1111","RFWD2"
"1112","RASAL2"
"1113","RALGPS2"
"1114","FAM20B"
"1115","TOR3A"
"1116","ABL2"
"1117","SOAT1"
"1118","TOR1AIP2"
"1119","RP11-533E19.7"
"1120","TOR1AIP1"
"1121","RP11-533E19.5"
"1122","CEP350"
"1123","QSOX1"
"1124","LHX4"
"1125","RP5-1180C10.2"
"1126","ACBD6"
"1127","XPR1"
"1128","RP11-46A10.5"
"1129","RP11-46A10.4"
"1130","STX6"
"1131","MR1"
"1132","IER5"
"1133","RP11-309G3.3"
"1134","GLUL"
"1135","RNASEL"
"1136","RGS16"
"1137","NPL"
"1138","DHX9"
"1139","LAMC1"
"1140","SMG7"
"1141","NCF2"
"1142","ARPC5"
"1143","RGL1"
"1144","COLGALT2"
"1145","TSEN15"
"1146","C1orf21"
"1147","EDEM3"
"1148","FAM129A"
"1149","RNF2"
"1150","TRMT1L"
"1151","SWT1"
"1152","IVNS1ABP"
"1153","TPR"
"1154","C1orf27"
"1155","PTGS2"
"1156","PLA2G4A"
"1157","RGS18"
"1158","RGS1"
"1159","RGS13"
"1160","RGS2"
"1161","UCHL5"
"1162","TROVE2"
"1163","GLRX2"
"1164","CDC73"
"1165","B3GALT2"
"1166","CFH"
"1167","ZBTB41"
"1168","DENND1B"
"1169","C1orf53"
"1170","NEK7"
"1171","PTPRC"
"1172","MIR181A1HG"
"1173","ZNF281"
"1174","DDX59"
"1175","CAMSAP2"
"1176","KIF21B"
"1177","ASCL5"
"1178","TMEM9"
"1179","LAD1"
"1180","PHLDA3"
"1181","CSRP1"
"1182","RPS10P7"
"1183","NAV1"
"1184","IPO9-AS1"
"1185","IPO9"
"1186","SHISA4"
"1187","TIMM17A"
"1188","RNPEP"
"1189","ARL8A"
"1190","PTPN7"
"1191","LGR6"
"1192","UBE2T"
"1193","PPP1R12B"
"1194","KDM5B"
"1195","RABIF"
"1196","KLHL12"
"1197","ADIPOR1"
"1198","CYB5R1"
"1199","TMEM183A"
"1200","RP11-134P9.3"
"1201","LINC01136"
"1202","BTG2"
"1203","ATP2B4"
"1204","LAX1"
"1205","ZC3H11A"
"1206","ZBED6"
"1207","SNRPE"
"1208","ETNK2"
"1209","PPP1R15B"
"1210","PIK3C2B"
"1211","MDM4"
"1212","RBBP5"
"1213","DSTYK"
"1214","TMCC2"
"1215","NUAK2"
"1216","MFSD4"
"1217","ELK4"
"1218","SLC45A3"
"1219","NUCKS1"
"1220","RAB7L1"
"1221","SLC41A1"
"1222","RP11-312O7.2"
"1223","FAM72A"
"1224","C1orf186"
"1225","SRGAP2"
"1226","IKBKE"
"1227","RP11-534L20.5"
"1228","RASSF5"
"1229","EIF2D"
"1230","DYRK3"
"1231","MAPKAPK2"
"1232","IL10"
"1233","IL19"
"1234","IL24"
"1235","FAIM3"
"1236","YOD1"
"1237","PFKFB2"
"1238","CD55"
"1239","CR1"
"1240","CD46"
"1241","CD34"
"1242","PLXNA2"
"1243","LAMB3"
"1244","RP1-28O10.1"
"1245","G0S2"
"1246","TRAF3IP3"
"1247","C1orf74"
"1248","IRF6"
"1249","DIEXF"
"1250","RCOR3"
"1251","TRAF5"
"1252","SLC30A1"
"1253","LPGAT1"
"1254","INTS7"
"1255","PPP2R5A"
"1256","RP11-384C4.7"
"1257","TMEM206"
"1258","NENF"
"1259","ATF3"
"1260","BATF3"
"1261","NSL1"
"1262","TATDN3"
"1263","FLVCR1-AS1"
